596;miniente  ;Mezclar  ;Krägä  ye miniente kuin  ;Mezcle bien la medicina  ;subidos/audios/prueba.mp3;subidos/imagenes/596_letra_m.png;1;0;0;0;11/04/2020;0
597;mini mini  ;Variado  ;I ye bä mini mini  ;El maíz es de varios colores ;subidos/audios/prueba.mp3;subidos/imagenes/597_letra_m.png;1;0;0;0;12/04/2020;0
598;miniente ;Envolver ;Sa ye miniente kriä biti ;Envuelva el bollo con la hoja.  ;subidos/audios/prueba.mp3;subidos/imagenes/598_letra_m.png;1;0;0;0;13/04/2020;0
599;Miniengä ;Meser ;Chi ye miniengä  ;Mese al bebe  ;subidos/audios/prueba.mp3;subidos/imagenes/599_letra_m.png;1;0;0;0;14/04/2020;0
600;Mobe ;Lejos ;Kri ye tä mobe  ;Ese árbol está lejos  ;subidos/audios/prueba.mp3;subidos/imagenes/600_letra_m.png;1;0;0;0;15/04/2020;0
601;Möre ;Hembra ;Obä ye möre   ;Esa avispa es hembra  ;subidos/audios/prueba.mp3;subidos/imagenes/601_letra_m.png;1;0;0;0;16/04/2020;0
602;Moren ;verano ;Kä nibira moren  ;Ya estamos en veranos  ;subidos/audios/prueba.mp3;subidos/imagenes/602_letra_m.png;1;0;0;0;17/04/2020;0
603;Motori ;Sur ;Nigani  motori mundiare  ;Se fue al sur a cazar  ;subidos/audios/prueba.mp3;subidos/imagenes/603_letra_m.png;1;0;0;0;18/04/2020;0
604;Monso ;Joven ;Monso ye tä sribire  ;El joven está trabajando  ;subidos/audios/prueba.mp3;subidos/imagenes/604_letra_m.png;1;0;0;0;19/04/2020;0
605;Mosoloro ;Gallina de monte ;Tigwe molosolo ye tuaba kabre ;Yo vi  muchas gallina de montes  ;subidos/audios/prueba.mp3;subidos/imagenes/605_letra_m.png;1;0;0;0;20/04/2020;0
606;mugo ;Compañero ;Meri se mugo kä chigän  ;El compañero de ella se llama chigän  ;subidos/audios/prueba.mp3;subidos/imagenes/606_letra_m.png;1;0;0;0;21/04/2020;0
607;mögö ;Pulga  ;Mögö ye tä nüne dobrote  ;La pulga viven en la tierra  ;subidos/audios/prueba.mp3;subidos/imagenes/607_letra_m.png;1;0;0;0;22/04/2020;0
608;mölöi ;Abuela ;Ti mölöi ye nibira umbre  ;Mi abuela ya está muy mayor  ;subidos/audios/prueba.mp3;subidos/imagenes/608_letra_m.png;1;0;0;0;23/04/2020;0
