id;t_gnabere;t_espanol;texto_gnabere.;texto_espanol;url_audio;url_imagen;id_usuario;vistas;me_gusta;no_me_gusta;fecha;borrado
340;Jogue;Nombre de Cacao;Ani jogue nögö dere. ;Vamos a sembrar en la tarde un jogue. ;subidos/audios/prueba.mp3;subidos/imagenes/340_letra_j.png;1;0;0;0;06/02/2020 11:17;0
341;Jodron;Cosas;Jodron ye kä ño? ;Como se llama esa cosa. ;subidos/audios/prueba.mp3;subidos/imagenes/341_letra_j.png;1;0;0;0;06/02/2020 11:17;0
342;Jötrö ;Ligero ;Nibi ye mäguete jötrö.  ;Amarre rápido esa vaca. ;subidos/audios/prueba.mp3;subidos/imagenes/342_letra_j.png;1;0;0;0;06/02/2020 11:17;0
343;Jobe;Lluvioso (exceso) ;ñü rägäin  jobe dere.;En la tarde será lluvioso. ;subidos/audios/prueba.mp3;subidos/imagenes/343_letra_j.png;1;0;0;0;06/02/2020 11:17;0
344;Jola;Cola;Minchi jola ye ngä. ;La cola del gato es largo. ;subidos/audios/prueba.mp3;subidos/imagenes/344_letra_j.png;1;0;0;0;06/02/2020 11:17;0
345;Ju ;Casa ;Ju tigwe bä kare.;Mi casa es de color verde. ;subidos/audios/prueba.mp3;subidos/imagenes/345_letra_j.png;1;0;0;0;06/02/2020 11:17;0
346;Ju ;Cobija ;ju ye ngwen tie. ;Deme la cobija. ;subidos/audios/prueba.mp3;subidos/imagenes/346_letra_j.png;1;0;0;0;06/02/2020 11:17;0
347;Jue ;Dormitorio(casa);nu jue ye bätete. ;Lave el dormitorio del perro. ;subidos/audios/prueba.mp3;subidos/imagenes/347_letra_j.png;1;0;0;0;06/02/2020 11:17;0
348;Juden;Zopilote;Juden ye bä drüne. ;El zopilote es de color negro. ;subidos/audios/prueba.mp3;subidos/imagenes/348_letra_j.png;1;0;0;0;06/02/2020 11:17;0
349;Jurin;Mono Congo;Jurin ye ngä dite. ;El mono Congo aúlla muy fuerte ;subidos/audios/prueba.mp3;subidos/imagenes/349_letra_j.png;1;0;0;0;06/02/2020 11:17;0
350;Jurite;Pedir( buscar) trueque ;Kwe rugai deba  jurite. ;El llegará a pedir que le regale pejibayes. ;subidos/audios/prueba.mp3;subidos/imagenes/350_letra_j.png;1;0;0;0;06/02/2020 11:17;0
351;Juröre;Picazón;Ti kise nibi juröre. ;Me pica la mano. ;subidos/audios/prueba.mp3;subidos/imagenes/351_letra_j.png;1;0;0;0;06/02/2020 11:17;0
352;Juben;Bañar;Ti näin juben ñöte. ;Me voy a bañar al rio. ;subidos/audios/prueba.mp3;subidos/imagenes/352_letra_j.png;1;0;0;0;06/02/2020 11:17;0
353;Jura;Rápido;Jesi ye nen jura kärera.;Siempre jesi corre muy rápido. ;subidos/audios/prueba.mp3;subidos/imagenes/353_letra_j.png;1;0;0;0;06/02/2020 11:17;0
354;Jügue;Pitar;Kri uai  ye jügue.  ;Pinte la ilustración del árbol. ;subidos/audios/prueba.mp3;subidos/imagenes/354_letra_j.png;1;0;0;0;06/02/2020 11:17;0
355;Jüguete ;Báñelo ;Nugrä ye jüguete. ;Bañe al perro. ;subidos/audios/prueba.mp3;subidos/imagenes/355_letra_j.png;1;0;0;0;06/02/2020 11:17;0
356;Jugwe;Puerta;Jugwe ye tigue. ;Abra esa puerta. ;subidos/audios/prueba.mp3;subidos/imagenes/356_letra_j.png;1;0;0;0;06/02/2020 11:17;0
357;Judä;Huevo ;Kwi judä bä ngwen. ;El huevo es de color blanco.;subidos/audios/prueba.mp3;subidos/imagenes/357_letra_j.png;1;0;0;0;06/02/2020 11:17;0
358;Judigue ;Remendar, coser ;Dän ye judigue. ;Remiende m ropa.  ;subidos/audios/prueba.mp3;subidos/imagenes/358_letra_j.png;1;0;0;0;06/02/2020 11:17;0
359;Junu;ano;nu junu nibi bren. ;El perro tiene enfermo el ano. ;subidos/audios/prueba.mp3;subidos/imagenes/359_letra_j.png;1;0;0;0;06/02/2020 11:17;0
360;Jue;Casa, nido  ;Kiala jue ye ngobare. ;Cuide la casa del tucán.;subidos/audios/prueba.mp3;subidos/imagenes/360_letra_j.png;1;0;0;0;06/02/2020 11:17;0
361;Juen ;Enviar, mandar ;Nugrä ye juen jie bti. ;Envíe al perro detrás de él. ;subidos/audios/prueba.mp3;subidos/imagenes/361_letra_j.png;1;0;0;0;06/02/2020 11:17;0
362;Jübengä;Nadar;Ruä ye jubengä deme. ;El señor nada espacio. ;subidos/audios/prueba.mp3;subidos/imagenes/362_letra_j.png;1;0;0;0;06/02/2020 11:17;0
363;Jona;alumina  (pez);Jona ye dübrü käme. ;La escama de la luminilla es mala.  ;subidos/audios/prueba.mp3;subidos/imagenes/363_letra_j.png;1;0;0;0;06/02/2020 11:17;0
364;Juta;Población ;Ti rün juta tuani san jose. ;Mi papá vio una población en san Jose.;subidos/audios/prueba.mp3;subidos/imagenes/364_letra_j.png;1;0;0;0;06/02/2020 11:17;0
365;Jüdai;Nido;Dela jüdai kwani ie. ;Encontré el nido de un yigüierro.  ;subidos/audios/prueba.mp3;subidos/imagenes/365_letra_j.png;1;0;0;0;06/02/2020 11:17;0
